GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,128,2,13,0,23,2,8,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,14,247,2,11,4,63,2,12,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,69,0,6,0,27,0,7,0,3,0
parking-system,com.parkit.parkingsystem,App,11,0,0,0,4,0,2,0,2,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,0,59,0,0,0,22,0,17,0,17
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,21,0,0,0,4,0,1,0,1
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,68,268,8,4,18,68,7,8,1,8
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,96,2,2,5,26,2,5,0,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,69,3,3,6,26,3,6,0,6
